idx,n_nodes,n_edges,n_terminals,red_nodes,red_edges,vars,L,ilp_cost,ilp_status,ilp_t,sa_cost,sa_ratio,sa_feas_raw,sa_t,gnn_cost,gnn_ratio,gnn_feas_raw,gnn_t,note
56,124,381,4,87,321,1322,2,1.9382,Optimal,1.99,31.203,16.0989,True,88.32,1.9382,1.0,False,10.57,
190,127,340,6,81,266,1224,2,2.4045,skipped_KMBref,,,,,,,,,,ilp_skipped_large
222,128,574,4,110,550,3627,3,2.8472,skipped_KMBref,,,,,,,,,,ilp_skipped_large
180,129,498,3,86,426,1860,2,1.0885,Optimal,0.2,,,,,,,,,too_large_skip_SA_GNN
29,132,439,6,101,389,2634,3,1.8369,skipped_KMBref,,,,,,,,,,ilp_skipped_large
110,132,339,11,88,257,2404,4,8.7029,skipped_KMBref,,,,,,,,,,ilp_skipped_large
69,133,366,4,84,279,1914,3,3.1012,Optimal,0.52,,,,,,,,,too_large_skip_SA_GNN
23,134,324,4,75,230,1024,2,2.8079,Optimal,0.12,24.8916,8.865,True,63.5,2.8079,1.0,False,9.0,
15,136,522,6,108,484,2150,2,2.3818,skipped_KMBref,,,,,,,,,,ilp_skipped_large
67,140,912,3,132,902,5805,3,1.3415,skipped_KMBref,,,,,,,,,,ilp_skipped_large
210,141,373,5,99,301,1400,2,1.672,skipped_KMBref,,,,,,,,,,ilp_skipped_large
111,144,464,3,103,398,1766,2,0.9279,Optimal,0.28,,,,,,,,,too_large_skip_SA_GNN
173,144,421,6,105,372,2544,3,1.638,skipped_KMBref,,,,,,,,,,ilp_skipped_large
226,145,532,5,107,478,2124,2,3.2965,skipped_KMBref,,,,,,,,,,ilp_skipped_large
26,,,,,,,,,,,,,,,,,,,timeout
27,,,,,,,,,,,,,,,,,,,timeout
106,149,494,3,113,449,2014,2,0.9558,Optimal,0.36,,,,,,,,,too_large_skip_SA_GNN
211,152,485,4,106,411,1854,2,1.3315,skipped_KMBref,,,,,,,,,,ilp_skipped_large
196,153,509,5,118,458,3099,3,0.9105,skipped_KMBref,,,,,,,,,,ilp_skipped_large
21,158,538,3,114,471,2074,2,1.9225,Optimal,0.26,,,,,,,,,too_large_skip_SA_GNN
202,159,500,3,102,414,1782,2,0.9233,Optimal,1.47,,,,,,,,,too_large_skip_SA_GNN
148,162,463,4,104,353,1602,2,1.6895,Optimal,0.5,,,,,,,,,too_large_skip_SA_GNN
144,165,522,4,118,438,1986,2,1.1998,skipped_KMBref,,,,,,,,,,ilp_skipped_large
177,166,473,3,120,391,1770,2,1.745,Optimal,0.14,,,,,,,,,too_large_skip_SA_GNN
19,167,620,4,128,560,2494,2,1.8422,skipped_KMBref,,,,,,,,,,ilp_skipped_large
176,168,506,4,107,419,1888,2,2.2268,skipped_KMBref,,,,,,,,,,ilp_skipped_large
79,173,608,3,127,544,2428,2,1.4192,skipped_KMBref,,,,,,,,,,ilp_skipped_large
223,173,557,3,131,488,2180,2,1.5139,Optimal,1.29,,,,,,,,,too_large_skip_SA_GNN
39,174,608,4,135,549,4928,4,1.943,skipped_KMBref,,,,,,,,,,ilp_skipped_large
221,174,482,3,92,346,1518,2,1.1111,Optimal,0.13,,,,,,,,,too_large_skip_SA_GNN
31,178,698,5,146,643,2862,2,1.8435,skipped_KMBref,,,,,,,,,,ilp_skipped_large
197,178,699,4,139,630,5592,4,2.6109,skipped_KMBref,,,,,,,,,,ilp_skipped_large
85,182,516,4,122,428,1954,2,2.0152,skipped_KMBref,,,,,,,,,,ilp_skipped_large
108,186,720,5,134,641,2830,2,1.5203,skipped_KMBref,,,,,,,,,,ilp_skipped_large
157,194,485,3,106,339,1534,2,1.1745,Optimal,0.13,,,,,,,,,too_large_skip_SA_GNN
174,194,960,5,174,931,6105,3,0.6619,skipped_KMBref,,,,,,,,,,ilp_skipped_large
121,196,598,6,145,518,5900,5,3.7942,skipped_KMBref,,,,,,,,,,ilp_skipped_large
14,198,640,3,143,577,2592,2,1.1732,skipped_KMBref,,,,,,,,,,ilp_skipped_large
133,198,715,3,136,614,2726,2,1.4648,skipped_KMBref,,,,,,,,,,ilp_skipped_large
166,201,1254,10,185,1232,10592,4,6.0569,skipped_KMBref,,,,,,,,,,ilp_skipped_large
