idx,red_nodes,red_edges,vars_est,L,ilp_cost,kmb_ratio,sa_ratio,gnn_old_ratio,gnn_tuned_cost,gnn_tuned_ratio,gnn_tuned_feas_raw,t
123,56.0,214.0,924.0,2,1.8211,1.0,11.8502,1.0,1.8211,1.0,False,5.9
60,51.0,175.0,762.0,2,1.815,1.087,7.2534,1.0871,1.973,1.087,False,14.4
155,60.0,179.0,786.0,2,2.3337,1.0,8.5062,1.0,2.3337,1.0,False,15.8
90,68.0,222.0,982.0,2,1.0889,1.0,18.3821,1.0,1.0889,1.0,False,8.8
138,61.0,194.0,876.0,2,2.2522,1.0,9.3544,1.0,2.2522,1.0,False,6.2
50,67.0,209.0,936.0,2,1.5219,1.0,11.6612,1.0,1.5219,1.0,False,6.2
142,77.0,252.0,1110.0,2,0.9128,1.0,30.3808,1.0,0.9128,1.0,False,6.5
193,86.0,284.0,1264.0,2,1.9323,1.1471,19.9665,1.1471,2.2166,1.1471,False,7.4
56,87.0,321.0,1322.0,2,1.9382,1.0,16.0989,1.0,1.9382,1.0,False,7.5
23,75.0,230.0,1024.0,2,2.8079,1.0,8.865,1.0,2.8079,1.0,False,8.9
187,8,12,50,2,1.6246,1.0,1.0,2.1326,2.0712,1.2749,False,15.7
220,10,15,62,2,2.3714,1.0,1.0,1.8771,3.1993,1.3491,True,14.9
146,14,25,114,2,1.4874,1.0,1.0,4.9094,7.3021,4.9093,False,16.2
22,15,32,142,2,1.9148,1.0133,1.2212,4.0906,7.8326,4.0906,False,16.6
30,17,39,172,2,2.3334,1.0,1.0,4.347,2.3334,1.0,False,17.1
92,20,46,200,2,0.9771,1.0,3.9165,11.6429,11.3768,11.6434,False,17.6
59,18,53,232,2,1.5754,1.0,1.785,6.1821,9.7394,6.1822,False,17.9
228,41,101,444,2,1.4281,1.0,6.1448,16.3369,1.4281,1.0,False,12.1
125,50,146,951,3,1.4513,1.0538,15.3742,1.0538,1.5294,1.0538,False,8.8
